idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
151,frame_000149.jpg,18,0.07905805110931396,0.146224252797982,0.1429349184036255,0.044788770377635956,0.2048445592017474,1192.4414934363617
152,frame_000150.jpg,18,0.06255833059549332,0.1731110798082947,0.1706255078315735,0.04044617712497711,0.21503660208656686,813.9099309495766
153,frame_000153.jpg,18,0.09226667881011963,0.19331572564373478,0.18740242719650269,0.08177168667316437,0.269479850105244,149.64165863408243
154,frame_000154.jpg,18,0.1021932065486908,0.1904412430116532,0.185934379696846,0.005087714176625013,0.6950817867567733,146.64180661143894
155,frame_000155.jpg,18,0.13508915901184082,0.15391877827719574,0.15088964998722076,0.10822813212871552,0.34644769411386905,125.64860647597118
156,frame_0001552.jpg,18,0.11991401761770248,0.12549315515269124,0.12074700742959976,0.06451580673456192,0.2822819811520676,222.1280597612165
157,frame_000156.jpg,18,0.14616121351718903,0.09545657299609367,0.09269014000892639,0.07269138097763062,0.18118912348518165,972.7952082140775
158,frame_0001562.jpg,18,0.12111277878284454,0.14382487140050904,0.13799500465393066,0.06416841596364975,0.19432147466623984,522.613185055144
159,frame_000157.jpg,18,0.1437819004058838,0.07075352460030113,0.06764543056488037,0.06582939624786377,0.1885282388221278,1197.2408592565885
160,frame_000158.jpg,18,0.14618715643882751,0.09644809318461636,0.09318187087774277,0.009222898632287979,0.5832061335864079,1037.2636245099175
161,frame_000159.jpg,18,0.14523738622665405,0.07304685722109022,0.07032070308923721,0.006635278929024935,0.6869559244618689,1026.6669545638656
162,frame_000160.jpg,18,0.14665183424949646,0.09312337788369666,0.09144789725542068,0.006889408454298973,0.668729966906657,1106.6159973793438
163,frame_000161.jpg,18,0.1444281041622162,0.09595596196132766,0.09250935167074203,0.01318349875509739,0.520040014928037,951.5036383175275
164,frame_000162.jpg,18,0.14604052901268005,0.0861732213328899,0.08364856243133545,0.01695738174021244,0.39791803487298844,925.0131567103183
165,frame_000163.jpg,18,0.14397379755973816,0.08366758062543406,0.08222521841526031,0.014419222250580788,0.5099273209633651,938.4547991013193
166,frame_0001632.jpg,18,0.08897514641284943,0.16297141799458237,0.15686438977718353,0.05015770345926285,0.1976656866075742,430.16226076377603
167,frame_000164.jpg,18,0.1224285215139389,0.08393131596887415,0.08079908788204193,0.04207753390073776,0.22090820018088847,823.0471747978207
168,frame_000165.jpg,18,0.11051005125045776,0.10114160655116924,0.0989411398768425,0.006604516413062811,0.7707994487384582,599.4339024566717
169,frame_000166.jpg,18,0.11113432049751282,0.11617676029022075,0.11369866132736206,0.010738799348473549,0.5655168610807197,565.3598989557237
170,frame_000167.jpg,18,0.10414230823516846,0.10381030924952558,0.10175102949142456,0.009002838283777237,0.7094351406174609,454.60741349897654
171,frame_000168.jpg,18,0.09985270351171494,0.13637415584623877,0.13506269454956055,0.02602340281009674,0.4466269027941771,486.2284444382199
172,frame_000169.jpg,18,0.09624496102333069,0.13578540127829516,0.13339310884475708,0.021649418398737907,0.4036432543424397,396.1570212475773
173,frame_000175.jpg,18,0.09668567031621933,0.09750945410590107,0.0958644226193428,0.059283941984176636,0.34178201744990494,473.73614078036815
174,frame_000181.jpg,18,0.1649433970451355,0.09351627569990338,0.09207699447870255,0.09344133734703064,0.2235699284616422,662.5647010591939
175,frame_000182.jpg,18,0.16405095160007477,0.05278387291995275,0.05342179536819458,0.07679346203804016,0.18016707676262614,908.644314581202
